p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims,correlated
100,TRUE,94,0.94,0.023748684174075843,fdr,10,1,1.81,100,no
100,TRUE,2,0.02,0.014,tweedie,10,1,1.81,100,no
100,TRUE,41,0.41,0.04918333050943175,lasso,10,1,1.81,100,no
100,TRUE,100,1,0,boruta,10,1,1.81,100,no
100,TRUE,0,0,0,svm,10,1,1.81,100,no
300,TRUE,98,0.98,0.014000000000000005,fdr,10,1,1.81,100,no
300,TRUE,0,0,0,tweedie,10,1,1.81,100,no
300,TRUE,34,0.34,0.04737087712930804,lasso,10,1,1.81,100,no
300,TRUE,100,1,0,boruta,10,1,1.81,100,no
300,TRUE,0,0,0,svm,10,1,1.81,100,no
1000,TRUE,96,0.96,0.019595917942265433,fdr,10,1,1.81,100,no
1000,TRUE,0,0,0,tweedie,10,1,1.81,100,no
1000,TRUE,35,0.35,0.047696960070847276,lasso,10,1,1.81,100,no
1000,TRUE,100,1,0,boruta,10,1,1.81,100,no
1000,TRUE,0,0,0,svm,10,1,1.81,100,no
3000,TRUE,97,0.97,0.017058722109231986,fdr,10,1,1.81,100,no
3000,TRUE,0,0,0,tweedie,10,1,1.81,100,no
3000,TRUE,33,0.33,0.04702127178203499,lasso,10,1,1.81,100,no
3000,TRUE,100,1,0,boruta,10,1,1.81,100,no
3000,TRUE,0,0,0,svm,10,1,1.81,100,no
10000,TRUE,98,0.98,0.014000000000000005,fdr,10,1,1.81,100,no
10000,TRUE,0,0,0,tweedie,10,1,1.81,100,no
10000,TRUE,41,0.41,0.04918333050943175,lasso,10,1,1.81,100,no
10000,TRUE,100,1,0,boruta,10,1,1.81,100,no
10000,TRUE,0,0,0,svm,10,1,1.81,100,no
